Designator,Value,FabLevel,DNI,Quantity,Manufacturer,Part Number,Layer,Ref-X(Mil),Ref-Y(Mil),Rotation

"C1","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","4095","3360","270"
"C2","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3183","4971","90"
"C3","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3184.314","4897.628","90"
"C4","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3184","4817","90"
"C5","10uF","","","1","Murata","GRM188R60J106ME47J","Top","3105","4605","270"
"C6","4.7uF","","","1","Taiyo Yuden","JMK107BJ475KA-T","Top","4390.5","3319.5","270"
"C7","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","4690","2935","90"
"C8","10uF","","","1","Murata","GRM188R60J106ME47J","Top","4469.5","3318.5","270"
"C9","1uF","","","1","Taiyo Yuden","LMK107B7105KA-T","Top","4915","3305","180"
"C10","1uF","","","1","Taiyo Yuden","LMK107B7105KA-T","Top","4650","2945","270"
"C11","1.5nF","","","1","Murata","GRM155R71H152KA01D","Top","4820","2990","0"
"C12","10uF","","","1","Murata","GRM188R60J106ME47J","Top","5175","3110","90"
"C13","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3556.5","5433.5","0"
"C14","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","2685","4735","270"
"C15","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","2499.5","3185.5","180"
"C16","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3335","2615","0"
"C17","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","4756.5","2602.5","0"
"C18","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","5314","3262.5","90"
"C19","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","5290","4775","90"
"C20","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","4389","5563","180"
"C21","0.01uF","","","1","Taiyo Yuden","UMK105B7103KV-F","Top","2868","3353","90"
"C22","0.47uF","","","1","Murata","GRM155F51C474ZA01D","Top","2822.5","3308","90"
"C23","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","2915","3160","90"
"C24","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3290","3075","90"
"C25","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3195","3155","180"
"C26","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3195","3190","180"
"C27","4.7uF","","","1","Taiyo Yuden","JMK107BJ475KA-T","Top","3025","2898","180"
"C28","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3579","3484.5","90"
"C29","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","3836.5","3723.5","270"
"C30","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","4215","3840","0"
"C31","0.1uF","","","1","Murata","GRM155R71C104KA88D","Top","4150","3560","90"
"Caster1","","","DNI","1","Pololu","955","Top","4000","2740","180"
"D1","","","","1","Lite-on","LTST-C190AKT","Top","4580","4950","90"
"D2","","","","1","Osram","LS Q976-nR-1","Top","4650","4950","90"
"F1","","","","1","Bourns","MF-NSMF200-2","Top","4785","4905","90"
"H1","","Intrinsic","","1","","","Top","2200","4300","0"
"H2","","Intrinsic","","1","","","Top","5900","3600","0"
"J1","","","","1","Samtec","SHF-113-01-l-E-SM-LC","Top","4000","5117","90"
"J2","","","DNI","1","","","Top","3045","2575","135"
"J3","","","","1","JST","B2B-PH-K-S(LF)(SN)","Top","4705","5220","180"
"J4","","","DNI","1","","","Top","4650","5080","0"
"L1","3.3uH","","","1","Coilcraft","LPS 4018-332MLB","Top","4525","3155","90"
"L2","2.2uH","","","1","Coilcraft","LPS 4018-222MLB","Top","5046","3131","90"
"L3","10mH","","","1","TDK","MMZ2012R102A","Top","3315","3160","0"
"M1","","","","1","Omron","EE-SX1131","Top","3830","4000","180"
"M2","","","","1","Omron","EE-SX1131","Top","4170","4000","0"
"Q1","","","","1","Diodes","DMG2301U-7","Top","4245","3735","0"
"Q2","","","","1","Fairchild","FDC602P","Top","4895","4730","180"
"R1","2.2K","","","1","Panasonic","ERJ-3GEYJ-222V","Top","4180","5375","90"
"R2","2.2K","","","1","Panasonic","ERJ-3GEYJ-222V","Top","4235","5375","90"
"R3","100K","","","1","Panasonic","ERJ-3GEYJ104V","Top","3633.5","3406.5","180"
"R4","100K","","","1","Panasonic","ERJ-3GEYJ104V","Top","4190","3555","270"
"R5","1k","","","1","Panasonic","ERJ-3GEYJ102V","Top","4240","3555","270"
"R6","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","3750","5370","90"
"R7","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","3800","5370","90"
"R8","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","3855","5370","90"
"R9","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","3905","5370","90"
"R10","0.1","","","1","Panasonic","ERJ-3RSJR10V","Top","2888","4716","270"
"R11","0.1","","","1","Panasonic","ERJ-3RSJR10V","Top","3058","4716","270"
"R12","18K","","","1","Panasonic","ERJ-3GEYJ183V","Top","4259","4230","270"
"R13","470","","","1","Panasonic","ERJ-3GEYJ471V","Top","4054","4205","90"
"R14","18K","","","1","Panasonic","ERJ-3GEYJ183V","Top","4104","4205","270"
"R15","18K","","","1","Panasonic","ERJ-3GEYJ183V","Top","3914","4205","90"
"R16","470","","","1","Panasonic","ERJ-3GEYJ471V","Top","3964","4205","90"
"R17","18K","","","1","Panasonic","ERJ-3GEYJ183V","Top","3754","4220","270"
"R18","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","4516","2884","90"
"R19","100K","","","1","Panasonic","ERJ-3GEYJ104V","Top","4560","3000","0"
"R20","1k","","","1","Panasonic","ERJ-3GEYJ102V","Top","4520","4950","90"
"R21","3.01K","","","1","Stackpole","RMCF0603FT3K01","Top","4730","2995","180"
"R22","2.2K","","","1","Panasonic","ERJ-3GEYJ-222V","Top","4762.5","3285","180"
"R23","324K","","","1","Yageo","RC0603FR-07324KL","Top","4820","2885","180"
"R24","105K","","","1","Stackpole","RMCF 1/16 105K 1% R","Top","4820","2935","0"
"R25","1M","","","1","Panasonic","ERJ-3GEY-J105V","Top","4881.5","3496","90"
"R26","4.7K","","","1","Panasonic","ERJ-3GEYJ472V","Top","4710","4950","270"
"R27","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","3255","5042","0"
"R28","1M","","","1","Panasonic","ERJ-3GEY-J105V","Top","3796","3735.5","270"
"R29","2M","","","1","Panasonic","ERJ-3GEY-J205V","Top","4269.5","3263","180"
"R30","1M","","","1","Panasonic","ERJ-3GEY-J205V","Top","4269","3313.5","0"
"R31","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","3517.5","5383.5","0"
"R32","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","2730","4745","270"
"R33","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","2511","3232","180"
"R34","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","3350","2660","0"
"R35","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","4746.5","2647.5","0"
"R36","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","5267.5","3254","90"
"R37","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","5190","4910","270"
"R38","100","","","1","Panasonic","ERJ-3GEYJ101V","Top","4399","5518","180"
"R39","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","2819.5","3400","270"
"R40","4.7K","","","1","Panasonic","ERJ-3GEYJ472V","Top","5110","4910","90"
"R43","2.2K","","","1","Panasonic","ERJ-3GEYJ222V","Top","4125","3715","90"
"R44","1M","","","1","Panasonic","ERJ-3GEY-J105V","Top","3742","3735.5","90"
"R45","1k","","","1","Panasonic","ERJ-3GEYJ102V","Top","3675","3580","0"
"R50","10K","","","1","Vishay Dale","71-CRCW0603-10K-E3","Top","4244.5","3404.5","180"
"SW2","","SurfaceMount","","1","Alps","SSSS810701","Top","5125","4670","0"
"TP1","","","DNI","1","","","Bottom","3105","5480","180"
"U1","","","","1","TI","MSP430F2132IRHBR","Top","3966","3515","180"
"U2","","","","1","Linear","LTC3566EUF#PBF","Top","4781","3146","90"
"U4","","","","1","TI","SN74LVC2G17QDCKRQ1","Top","3835","4205","90"
"U5","","","","1","Allegro Micro Systems","A3906SESTR-T","Top","2975","4887","270"
"U6","","","","1","TI","SN74LVC2G17QDCKRQ1","Top","4179","4205","90"
"U8","","","","1","ST Mircoelectronics","L3G4200DTR","Top","2998","3322","90"
"U9","","","","1","Freescale Semiconductor","MMA8452QT","Top","3105","3055","270"
"U10","","","","1","OSRAM","SFH 9240-Z","Top","3420","5580","110"
"U11","","","","1","OSRAM","SFH 9240-Z","Top","2610","4940","150"
"U12","","","","1","OSRAM","SFH 9240-Z","Top","2610","3060","210"
"U13","","","","1","OSRAM","SFH 9240-Z","Top","3340","2450","250"
"U14","","","","1","OSRAM","SFH 9240-Z","Top","4660","2450","290"
"U15","","","","1","OSRAM","SFH 9240-Z","Top","5390","3060","330"
"U16","","","","1","OSRAM","SFH 9240-Z","Top","5390","4940","30"
"U17","","","","1","OSRAM","SFH 9240-Z","Top","4580","5580","70"
